"Country Code","country name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"BMU","Bermuda","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.26482","56.26482","56.26482","56.36377","56.36377","56.44772","56.44772","57.3727","57.98935","58.29767","58.66121","58.91433","58.91433","59.07473","59.1237","59.38306","59.2841","59.43826","59.33783","59.59974","59.66854","59.56958","59.49457","59.4435"
"BOL","Bolivia","26.16235","25.59237","26.05548","26.34047","26.47265","26.6864","26.53564","26.89189","27.08975","26.73896","27.04369","26.51707","24.72203","24.89581","24.68379","25.33489","25.97","25.8983","26.05451","26.04113","26.23988","26.62618","26.33946","25.85565","27.68514","26.81843","28.74865","38.4841","41.43565","39.83592","39.11374","38.88427","29.14157","30.69277","31.53844","32.12012","33.09718","34.02984","34.27655","34.80299","34.11968","35.00023","34.76259"
"BRA","Brazil","19.94257","20.04944","20.01588","19.65138","19.79387","19.68906","19.3225","19.21769","19.36018","28.34891","28.34891","28.19611","28.17595","28.09644","27.85944","27.77994","27.88681","28.17182","27.92451","28.3599","28.32352","28.85432","30.82989","31.80441","32.10642","34.84842","38.25095","40.3863","41.2233","42.45117","41.84443","41.74247","41.46988","40.88962","40.94923","40.97185","41.11278","41.70242","42.46972","42.49104","43.1925","43.80803","44.24383"
"BRB","Barbados","44.49365","44.71238","44.97236","44.5823","44.74926","44.87012","44.70513","44.61406","44.86324","44.99528","45.11663","45.22706","45.00858","45.0015","44.68671","44.83614","44.74683","44.72474","44.48234","45.15015","44.93826","44.8862","44.79031","44.55156","45.0108","45.11139","62.86074","51.22778","51.96015","51.90229","53.65228","55.44271","59.23935","59.92635","59.76591","59.47861","59.95406","59.44188","57.11369","56.76549","56.01599","55.70809","54.99247"
"BRN","Brunei Darussalam",".",".",".",".",".",".",".",".",".",".",".",".",".",".","67.08927","68.27224","68.45174","68.71741","68.83572","68.86372","68.28883","68.27742","68.5877","67.69238","69.93562","69.61467","70.99824","70.48495","72.83979","72.00999","70.91127","69.44028","67.69054","68.06387","68.52136","68.00679","67.25999","66.72103","65.86086","65.45161","66.16661","65.8985","65.75912"
"BTN","Bhutan","28.7069","28.61759","28.52829","28.52829","28.43898","28.34967","28.27391","28.18461","28.18461","28.0953","28.0953","28.36322","28.54184","28.72045","28.88552","28.97482","29.06413","29.06413","29.15344","29.15344","29.15344","29.3185","27.25089","27.23734","27.75963","27.9247","27.9247","28.37124","28.46054","28.9141","30.37773","31.20537","31.82813","29.95394","32.66746","31.63317","31.76053","31.03563","32.52614","33.18358","32.80173","33.14624","33.51381"
"BWA","Botswana","34.14941","34.14941","34.0601","34.0601","33.97079","33.97079","33.94631","33.97873","33.8354","33.82459","33.73528","33.81104","33.71093","33.63242","33.21843","32.55006","33.79762","33.22649","33.69476","32.59352","32.78814","32.97795","32.92432","33.3023","33.05325","33.1182","34.81991","36.06948","37.60675","37.22546","39.51238","39.92637","39.43093","40.71671","38.48868","38.37143","40.84777","40.43229","41.47412","41.94551","40.89072","40.60544","39.46965"
"CAF","Central African Republic","21.31052","21.61555","21.61555","21.61555","21.61555","21.44711","21.33158","21.29232","21.14563","21.07361","20.9378","19.39544","18.45731","17.52519","17.03649","16.37787","15.63557","15.19038","14.73431","13.95938","13.46406","11.98273","12.27935","12.49743","13.15567","13.04014","13.53724","12.87934","13.29547","13.91405","14.21869","15.29346","14.94802","15.47963","15.73019","15.65887","15.66612","16.14147","17.03449","17.61813","17.67488","17.5834","17.91209"
"CAN","Canada","68.90309","68.90309","68.90309","68.89322","68.82153","68.82153","81.51416","81.57373","81.72474","82.00702","82.0762","81.92545","81.92545","81.76232","82.33115","82.32129","82.08564","82.53297","82.36842","82.85117","82.69054","83.03916","83.91793","84.81562","85.60593","86.67414","87.30423","88.26989","89.67058","90.00804","90.42119","90.37688","90.37983","90.06863","90.20005","90.29107","90.13692","89.86852","89.56406","89.38209","89.05965","88.80604","88.35767"
"CHE","Switzerland","55.24047","55.24047","55.27609","68.14368","68.10806","68.0368","77.67694","77.94241","78.03941","78.77154","78.86606","79.17055","79.11948","79.46937","79.82545","80.43027","80.83801","81.09708","81.68278","82.01702","83.18059","84.26994","84.87825","85.55571","86.25901","86.8643","87.57253","88.88241","90.23975","93.53602","91.73795","92.26726","92.1853","92.32056","92.45322","92.75193","92.11887","92.20533","92.23582","91.91856","91.52664","91.02005","90.79889"
